Burevestnik-ch sf,Moscow,1965.??.??,?,"Volovich, Anatoly A","Gulko, Boris F",,,A09,"[['Nf3', 'd5'], ['g3', 'Nc6'], ['c4', 'd4'], ['d3', 'e5'], ['Bg2', 'Bg4'], ['h3', 'Bf5'], ['O-O', 'Qd7'], ['Kh2', 'Nf6\n'], ['Na3', 'Be7'], ['Nc2', 'a5'], ['b3', 'O-O'], ['a3', 'h6'], ['Bd2', 'e4'], ['Nfe1', 'Rfd8'], ['dxe4', 'Bxe4\n'], ['f3', 'Bh7'], ['Nd3', 'Bd6'], ['Be1', 'Re8'], ['Bf2', 'Qe7'], ['Re1', 'Rad8'], ['Qd2', 'h5'], ['Kg1', 'h4\n'], ['g4', 'Bg3'], ['Bxg3', 'hxg3'], ['Qf4', 'a4'], ['bxa4', 'Na5'], ['Qxg3', 'Nxc4'], ['g5', 'Nd5'], ['f4', 'Nc3\n'], ['Bf3', 'Ne3'], ['Nxe3', 'Qxe3+'], ['Qf2', 'Bxd3'], ['exd3', 'Qxd3'], ['Bxb7', 'Re3'], ['Bg2', 'Rde8\n'], ['a5', 'Qb5'], ['f5', 'Qxa5'], ['g6', 'Qe5'], ['gxf7+', 'Kxf7'], ['Rxe3', 'Qxe3'], ['Qxe3', 'Rxe3'], ['Kf2', 'Re5\n'], ['Bf1', 'Rxf5+'], ['Ke1', 'Ke6'], ['a4', 'Ra5'], ['Bc4+', 'Kd6'], ['Bb3', 'Kc5'], ['Kd2', 'Kb4'], ['Bc2', 'Re5\n'], ['Rf1', 'Re2+'], ['Kd3', 'c5'], ['Rf7', 'c4+'], ['Kxd4', 'Rd2+'], ['Ke5', '']]",0-1
Moscow rapid,Moscow,1992.??.??,?,"Gulko, Boris F","Khenkin, Igor",,,D31,"[['c4', 'e6'], ['d4', 'd5'], ['Nc3', 'c6'], ['e4', 'dxe4'], ['Nxe4', 'Bb4+'], ['Nc3', 'c5'], ['a3', 'Ba5'], ['Nf3', 'cxd4\n'], ['Qxd4', 'Qxd4'], ['Nxd4', 'Bxc3+'], ['bxc3', 'Nf6'], ['Nb5', 'Na6'], ['Be3', 'Bd7'], ['Nd6+', 'Ke7'], ['Nxb7', 'Ng4\n'], ['Bf4', 'e5'], ['Bg3', 'Rab8'], ['c5', 'Nc7'], ['Na5', 'f6'], ['Be2', 'Nb5'], ['Bxg4', 'Bxg4'], ['Nc6+', 'Ke6\n'], ['Nxb8', 'Rxb8'], ['Rb1', 'Rd8'], ['f3', 'Nxa3'], ['Rb7', 'Bf5'], ['O-O', 'Rd7'], ['Rxd7', 'Kxd7'], ['Ra1', 'Nb5\n'], ['c4', 'Nc7'], ['Rxa7', 'Kc6'], ['Be1', 'h5'], ['h3', 'Bc8'], ['Ba5', 'Ne6'], ['Bb6', 'Bb7'], ['h4', 'Nd4\n'], ['Kf2', 'Nf5'], ['g3', 'g5'], ['hxg5', 'fxg5'], ['Ra1', 'g4'], ['fxg4', 'hxg4'], ['Re1', 'Bc8'], ['Rxe5', 'Bd7\n'], ['Re4', 'Nh6'], ['Re7', 'Nf5'], ['Rf7', 'Be6'], ['Rc7+', '']]",1-0
Moscow rapid,Moscow,1992.??.??,?,"Gulko, Boris F","Karpov, Anatoly",,,A25,"[['c4', 'e5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['Nc3', 'Bg7'], ['Rb1', 'a5'], ['e3', 'd6'], ['Nge2', 'Bf5'], ['d3', 'Nb4\n'], ['e4', 'Be6'], ['O-O', 'Ne7'], ['a3', 'Nbc6'], ['b4', 'axb4'], ['axb4', 'O-O'], ['b5', 'Nb8'], ['Be3', 'Nd7\n'], ['Qc2', 'c6'], ['Ra1', 'Qc7'], ['Rfb1', 'Rfb8'], ['Qd1', 'Qd8'], ['Rxa8', 'Rxa8'], ['Ra1', 'Ra5'], ['Rxa5', 'Qxa5\n'], ['Qa4', 'Qxa4'], ['Nxa4', 'cxb5'], ['cxb5', 'd5'], ['exd5', 'Bxd5'], ['Nec3', 'Bxg2'], ['Kxg2', 'f5\n'], ['f4', 'Kf7'], ['Kf3', 'Ke6'], ['Ke2', 'exf4'], ['Bxf4', 'Nd5'], ['Nxd5', 'Kxd5'], ['Kd2', 'Bd4'], ['h3', 'Nb6\n'], ['Nc3+', 'Bxc3+'], ['Kxc3', 'Kc5'], ['Be3+', 'Kxb5'], ['Kd4', 'Kc6'], ['Ke5', 'Nd5'], ['Bc1', 'Nb4'], ['Kd4', 'b5\n'], ['Bd2', 'Nd5'], ['Ke5', 'b4'], ['d4', 'b3'], ['Bc1', 'Nb4'], ['Ba3', 'Kb5'], ['Kf6', 'Nc2'], ['Bb2', 'Kc4\n'], ['Kg7', 'Nxd4'], ['Kxh7', 'Ne2'], ['Kxg6', 'Nxg3'], ['Kg5', 'Kd3'], ['Kf4', 'Kc2'], ['Ba1', '']]",1/2-1/2
Moscow rapid,Moscow,1992.??.??,?,"Gulko, Boris F","Ivanov, Alexander",,,E70,"[['c4', 'g6'], ['d4', 'Bg7'], ['e4', 'd6'], ['Nc3', 'c5'], ['d5', 'e6'], ['Bd3', 'Nf6'], ['h3', 'O-O'], ['Nge2', 'Nbd7\n'], ['f4', 'exd5'], ['exd5', 'Nh5'], ['O-O', 'f5'], ['Be3', 'Re8'], ['Bf2', 'Nf8'], ['Qd2', 'Bd7'], ['a3', 'Qc7\n'], ['b4', 'b6'], ['Rab1', 'cxb4'], ['axb4', 'a5'], ['bxa5', 'bxa5'], ['Nb5', 'Bxb5'], ['cxb5', 'Qb7'], ['b6', 'Qxd5\n'], ['Nc3', 'Bxc3'], ['Qxc3', 'Rac8'], ['Qd4', 'Qb7'], ['Bc4+', 'Ne6'], ['Bd5', 'Qf7'], ['Bxe6', 'Rxe6'], ['b7', 'Rb8\n'], ['Rfc1', 'Ree8'], ['Qc4', 'd5'], ['Qc7', 'Nf6'], ['Qxf7+', 'Kxf7'], ['Ba7', 'Nd7'], ['Bxb8', 'Rxb8'], ['Rc8', 'a4\n'], ['Rxb8', 'Nxb8'], ['Ra1', 'Ke6'], ['Rxa4', 'Kd6'], ['Kf2', 'Kc7'], ['Rd4', 'Kc6'], ['Kf3', 'Kxb7'], ['Rxd5', 'Kc6\n'], ['Rd8', '']]",1-0
Moscow rapid g/15,Moscow,1992.??.??,?,"Karpov, Anatoly","Gulko, Boris F",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Be3', 'c5'], ['Qd2', 'Qa5\n'], ['Rb1', 'b6'], ['Bb5+', 'Bd7'], ['Be2', 'Nc6'], ['Nf3', 'O-O'], ['Rc1', 'cxd4'], ['cxd4', 'Qxd2+'], ['Kxd2', 'e6\n'], ['Bb5', 'Rac8'], ['a4', 'Rfd8'], ['Bg5', 'f6'], ['Be3', 'Nb8'], ['Ke2', 'Kf7'], ['Bf4', 'a6'], ['Bxd7', 'Nxd7\n'], ['Nd2', 'Bf8'], ['Nc4', 'Rc6'], ['a5', 'bxa5'], ['Nxa5', 'Rxc1'], ['Rxc1', 'e5'], ['dxe5', 'fxe5'], ['Bg5', 'Rb8\n'], ['Rc7', 'Ke8'], ['Nc4', '']]",1-0
Moscow rapid,Moscow,1992.??.??,?,"Gulko, Boris F","Dragomarezkij, Evgeni",,,A20,"[['c4', 'e5'], ['g3', 'Nf6'], ['Bg2', 'd5'], ['cxd5', 'Nxd5'], ['Nf3', 'Nc6'], ['O-O', 'Nb6'], ['d3', 'Be7'], ['a3', 'O-O\n'], ['b4', 'Re8'], ['Bb2', 'Bf8'], ['Nbd2', 'a6'], ['Rc1', 'f6'], ['Ne4', 'Be6'], ['Nc5', 'Bxc5'], ['Rxc5', 'Qd7\n'], ['Nd2', 'Nd5'], ['Nb3', 'Qf7'], ['Nd2', 'Rad8'], ['Ne4', 'Nd4'], ['e3', 'Nb5'], ['Rc1', 'Nd6'], ['Nc5', 'Bc8\n'], ['Qb3', 'Ne7'], ['Qxf7+', 'Kxf7'], ['d4', 'exd4'], ['Bxd4', 'c6'], ['Rfd1', 'Nb5'], ['Bb2', 'Nc7'], ['Bf1', 'Ned5\n'], ['Bc4', 'Ke7'], ['e4', 'Nb6'], ['Bb3', 'Ne6'], ['Bxe6', 'Bxe6'], ['Nxb7', 'Rxd1+'], ['Rxd1', 'Nc4'], ['Bd4', 'Bg4\n'], ['Bc5+', 'Kf7'], ['Rd4', 'Rb8'], ['Nd8+', 'Ke8'], ['Nxc6', 'Rc8'], ['Na7', 'Ne5'], ['Nxc8', 'Nf3+'], ['Kg2', 'Nxd4\n'], ['Bxd4', 'Bxc8'], ['Kf3', 'Ke7'], ['Ke3', 'Bd7'], ['f4', 'g6'], ['Bc5+', 'Ke6'], ['g4', 'Ba4'], ['f5+', 'Kf7\n'], ['h4', 'Bd1'], ['Kf4', 'Bc2'], ['e5', 'fxe5+'], ['Kxe5', 'Bd1'], ['Kf4', 'Bc2'], ['Bd4', 'Bd3'], ['Kg5', 'Be2\n'], ['Kf4', 'h5'], ['fxg6+', 'Kxg6'], ['g5', 'Kf7'], ['Ke5', 'Bd3'], ['Kd6', 'Ke8'], ['Kc7', 'Ke7'], ['a4', 'Ke6\n'], ['Kc6', 'Bc2'], ['Kb6', 'Bxa4'], ['Kxa6', 'Kd7'], ['Kb6', 'Bc2'], ['Kc5', 'Be4']]",1-0
Sevilla op,Sevilla,1992.??.??,2,"Torres, P.","Gulko, Boris F",,,A21,"[['c4', 'e5'], ['Nc3', 'Bb4'], ['g3', 'Bxc3'], ['dxc3', 'd6'], ['Bg2', 'f5'], ['Nf3', 'Nf6'], ['Bg5', 'Nc6'], ['O-O', 'O-O\n'], ['Qc2', 'Qe8'], ['Nd2', 'Qh5'], ['Bxf6', 'Rxf6'], ['Rfe1', 'Be6'], ['Qa4', 'Rh6'], ['Nf1', 'f4'], ['Bd5', 'Bxd5\n'], ['cxd5', 'Ne7'], ['Qe4', 'Rf8'], ['Rad1', 'Rhf6'], ['Qg2', 'Qf7'], ['c4', 'Nf5'], ['Nd2', 'Nd4'], ['Ne4', 'Rg6\n'], ['Rxd4', 'exd4'], ['Rd1', 'Qf5'], ['Rxd4', 'Qe5'], ['Rd2', 'fxg3'], ['hxg3', 'Rf4'], ['Nc3', 'Rxc4'], ['e4', 'Rd4\n'], ['f4', 'Qxf4'], ['Rxd4', 'Qe3+']]",0-1
Sevilla op,Sevilla,1992.??.??,3,"Gulko, Boris F","Rodriguez Talavera, Juan Carlos",,,D37,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Be7'], ['Bf4', 'O-O'], ['e3', 'c5'], ['dxc5', 'Bxc5'], ['Qc2', 'Nc6\n'], ['a3', 'Qa5'], ['O-O-O', 'Be7'], ['g4', 'dxc4'], ['Bxc4', 'e5'], ['g5', 'exf4'], ['gxf6', 'Bxf6'], ['Nd5', 'Ne7\n'], ['Nxf6+', 'gxf6'], ['Rhg1+', 'Kh8'], ['Qe4', 'Ng6'], ['Qd4', 'Qb6'], ['exf4', 'Qxd4'], ['Rxd4', 'Bf5\n'], ['Kd2', 'Rac8'], ['Rc1', 'Bg4'], ['Rc3', 'Rcd8'], ['Rcd3', 'Rxd4'], ['Nxd4', 'Nxf4'], ['Re3', 'Ng6'], ['Rc3', 'Ne5\n'], ['Bb3', 'Rd8'], ['Ke3', 'Re8'], ['Kf4', 'Rd8'], ['Ke4', 'Re8'], ['Kf4', 'Rd8']]",1/2-1/2
Sevilla op,Sevilla,1992.??.??,5,"Gulko, Boris F","Polihroniade, Elisabeta",,,C41,"[['d4', 'd6'], ['e4', 'Nf6'], ['Nc3', 'e5'], ['Nf3', 'Bg4'], ['dxe5', 'Bxf3'], ['gxf3', 'dxe5'], ['Qxd8+', 'Kxd8\n'], ['f4', 'Bd6'], ['fxe5', 'Bxe5'], ['Bd2', 'c6'], ['Bg2', 'Kc7'], ['f4', 'Bd4'], ['O-O-O', 'Nbd7'], ['Bf3', 'h5\n'], ['h3', 'h4'], ['e5', 'Nh5'], ['Ne4', 'Ng3'], ['Rhe1', 'Nxe4'], ['Rxe4', 'Bf2'], ['Bb4', 'c5'], ['Bc3', 'Rae8\n'], ['f5', 'Bg3'], ['e6', 'fxe6'], ['fxe6', 'Nf6'], ['Bxf6', 'gxf6'], ['Rd7+', 'Kc8'], ['Rf7', 'Be5'], ['Ra4', 'Rhg8\n'], ['Bxb7+', 'Kb8'], ['Bd5', 'Rg1+'], ['Kd2', 'Rd8'], ['c4', 'Rg2+'], ['Kd3', 'Rg3+'], ['Ke4', 'Bc7'], ['e7', '']]",1-0
Sevilla op,Sevilla,1992.??.??,6,"Galego, Luis","Gulko, Boris F",,,B59,"[['e4', 'c5'], ['Ne2', 'Nc6'], ['Nbc3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['O-O', 'O-O\n'], ['Be3', 'a5'], ['Nd2', 'Be6'], ['Nc4', 'b5'], ['Nxb5', 'Nxe4'], ['f3', 'Rb8'], ['fxe4', 'Rxb5'], ['Nxd6', 'Rxb2\n'], ['Qc1', 'Rxa2'], ['Rxa2', 'Bxa2'], ['Nf5', 'Be6'], ['Rd1', 'Qc7'], ['Nxe7+', 'Qxe7'], ['c4', 'Rc8'], ['Qa1', 'h6\n'], ['c5', 'Qc7'], ['Qa4', 'Nd4'], ['Bxd4', 'exd4'], ['Ra1', 'Qxc5'], ['Qxa5', 'Qc2'], ['Bf3', 'd3'], ['Rd1', 'Bb3\n'], ['Rd2', 'Qc4'], ['h3', 'Qd4+'], ['Kh2', 'Qe3'], ['Kg3', 'Bc2'], ['Rf2', 'Re8'], ['Qd2', 'Rxe4'], ['Qxe3', 'Rxe3\n'], ['Rd2', 'f5'], ['Kf4', 'Re1'], ['Kxf5', 'Re2']]",0-1
Sevilla op,Sevilla,1992.??.??,7,"Gulko, Boris F","Yudasin, Leonid",,,A34,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['g3', 'd5'], ['cxd5', 'Nxd5'], ['Bg2', 'Nc7'], ['d3', 'e5'], ['Nd2', 'Bd7\n'], ['O-O', 'Be7'], ['a4', 'O-O'], ['Nc4', 'f6'], ['f4', 'exf4'], ['Bxf4', 'Ne6'], ['Bd2', 'Kh8'], ['Nd5', 'Rb8\n'], ['Bc3', 'Ng5'], ['h4', 'Nf7'], ['e3', 'Nh6'], ['Rf4', 'Be6'], ['Qf3', 'Qd7'], ['Rf1', 'Rbd8'], ['Nxe7', 'Qxe7\n'], ['Qe2', 'Qd7'], ['Be4', 'Bd5'], ['g4', 'Kg8'], ['g5', 'Bxe4'], ['dxe4', 'fxg5'], ['hxg5', 'Nf7'], ['Rf5', 'Qe7\n'], ['Qg2', 'Qe6'], ['Rxc5', 'Ne7'], ['Rc7', '']]",1/2-1/2
Sevilla op,Sevilla,1992.??.??,9,"Gulko, Boris F","Arroyo, Eudor",,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Bd2', 'Qe7'], ['Bg2', 'Nc6'], ['Nf3', 'Bxd2+'], ['Nbxd2', 'd6'], ['O-O', 'a5\n'], ['e4', 'e5'], ['d5', 'Nb8'], ['Ne1', 'O-O'], ['Nc2', 'Na6'], ['Ne3', 'g6'], ['a3', 'Bd7'], ['b3', 'c6'], ['Re1', 'Rfe8\n'], ['Qc2', 'Rec8'], ['dxc6', 'bxc6'], ['Qc3', 'Rcb8'], ['b4', 'axb4'], ['axb4', 'Nc7'], ['Nb3', 'Rxa1'], ['Rxa1', 'd5\n'], ['cxd5', 'Qxb4'], ['Qxe5', 'Qxb3'], ['Qxf6', 'cxd5'], ['exd5', 'Ne8'], ['Qe7', 'Qc3'], ['Rf1', 'Nf6\n'], ['h3', 'h5'], ['Qd6', 'Rb4'], ['Kh2', 'Kg7'], ['Rc1', 'Qd2'], ['Ra1', 'Be8'], ['Qe7', 'h4'], ['Ra6', 'Qxf2\n'], ['Qxb4', 'hxg3+'], ['Kh1', 'Qxe3'], ['Qb6', 'Qc1+'], ['Qg1', 'Qc4'], ['Qa1', 'Qh4'], ['Qe5', 'Bd7'], ['Kg1', 'Bf5\n'], ['Qc3', 'Bd7'], ['Rd6', 'Bc8'], ['Qe5', 'Bf5'], ['Rc6', 'Bd7'], ['Rb6', 'Bf5'], ['Qc3', 'Bd7'], ['Rb4', 'Qg5\n'], ['Rb3', 'Kf8'], ['Qxg3', 'Qxg3'], ['Rxg3', 'Ke7'], ['Rb3', 'Bf5'], ['Kf2', 'Kd6'], ['Rb5', 'Ke5'], ['Rb7', 'Nd7\n'], ['Ke3', 'g5'], ['Rb5', 'f6'], ['Rb7', 'Nc5'], ['Re7+', 'Kd6'], ['Re8', 'Bd7'], ['Rf8', 'Ke5'], ['Rg8', 'Nb7\n'], ['Kd3', 'Nd6'], ['Kc3', 'Ne4+'], ['Kc4', 'Nf2'], ['Rd8', 'Bf5'], ['Re8+', 'Kf4'], ['Re6', 'Nd1'], ['Kd4', 'Bxe6\n'], ['dxe6', 'Ne3'], ['Be4', 'g4'], ['hxg4', '']]",1-0
St Martin op,St Martin,1992.??.??,1,Colin,"Gulko, Boris F",,,C20,"[['c4', 'e5'], ['e4', 'Bc5'], ['Nc3', 'd6'], ['g3', 'Nc6'], ['Bg2', 'f5'], ['d3', 'Nf6'], ['Nh3', 'O-O'], ['O-O', 'h6'], ['Qd2', 'fxe4\n'], ['Nxe4', 'Nxe4'], ['dxe4', 'Be6'], ['Kh1', 'Qd7'], ['Ng1', 'Bxc4']]",0-1
St Martin op,St Martin,1992.??.??,2,"Gulko, Boris F","Shmulevich, Mark",,,A04,"[['Nf3', 'f5'], ['d3', 'Nf6'], ['Nbd2', 'd5'], ['e4', 'dxe4'], ['dxe4', 'Nxe4'], ['Bc4', 'Nc6'], ['O-O', 'Nd6'], ['Bd5', 'e6\n'], ['Re1', 'Qf6'], ['Nc4', 'Nxc4'], ['Bg5', 'Nxb2'], ['Qd2', 'Nc4'], ['Qf4', 'Qg6'], ['Qxc4', 'Nd8'], ['Qxc7', 'Bd7\n'], ['Ne5', '']]",1-0
St Martin op,St Martin,1992.??.??,3,"Gurevich, Ilya","Gulko, Boris F",,,C09,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'Nc6'], ['exd5', 'exd5'], ['Bb5', 'Bd6'], ['dxc5', 'Bxc5'], ['O-O', 'Ne7\n'], ['Nb3', 'Bd6'], ['Bxc6+', 'bxc6'], ['Qd4', 'O-O'], ['Bf4', 'Nf5'], ['Qa4', 'Be6'], ['Rfd1', 'c5'], ['Bxd6', 'Qxd6\n'], ['Rd2', 'Qb6'], ['c3', 'h6'], ['Re1', 'Rfc8'], ['Qf4', 'Rd8'], ['Ne5', 'Nd6']]",1/2-1/2
St Martin op,St Martin,1992.??.??,4,"Gulko, Boris F","Gamboa, Nelson",,,E42,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['Ne2', 'O-O'], ['a3', 'cxd4'], ['axb4', 'dxc3'], ['Nxc3', 'd5\n'], ['cxd5', 'exd5'], ['b5', 'Be6'], ['Qd4', 'a5'], ['Bd3', 'Nbd7'], ['f4', 'g6'], ['O-O', 'Rc8'], ['f5', 'gxf5\n'], ['Bxf5', 'Rc4'], ['Qd1', 'Ne5'], ['Ra4', 'Qd7'], ['Rxc4', 'dxc4'], ['Qd4', 'Qxd4'], ['exd4', 'Ned7'], ['Bh6', 'Re8\n'], ['Bc2', 'Bg4'], ['Bd2', 'Bh5'], ['Re1', 'Rxe1+'], ['Bxe1', 'Bg6'], ['Bd1', 'Bh5'], ['Bxh5', 'Nxh5'], ['Nd5', 'Nhf6\n'], ['Ne3', 'a4'], ['Nxc4', 'Nd5'], ['Kf2', 'f6'], ['Kf3', 'N7b6'], ['Nd6', 'Nd7'], ['Nxb7', 'Kf7'], ['Ke4', 'Nc7\n'], ['Nc5', 'Nxc5+'], ['dxc5', 'Nxb5'], ['Kd5', 'Ke7'], ['c6', 'Nc7+'], ['Kc5', 'Ne6+'], ['Kb6', 'Kd8'], ['Kb7', 'Nc5+\n'], ['Kb8', 'Na6+'], ['Ka7', 'Nc7'], ['Kb7', 'Nb5'], ['c7+', '']]",1-0
St Martin op,St Martin,1992.??.??,5,"Gulko, Boris F","Arnason, Jon L",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['a3', 'Ba6'], ['Qc2', 'Bb7'], ['Nc3', 'c5'], ['dxc5', 'bxc5'], ['Bf4', 'd6\n'], ['Rd1', 'Qb6'], ['e3', 'Be7'], ['Be2', 'O-O'], ['O-O', 'Rd8'], ['Rd2', 'Nbd7'], ['Rfd1', 'Nf8'], ['Ng5', 'Rd7\n'], ['Bf3', 'Bxf3'], ['Nxf3', 'Rad8'], ['e4', 'Ng6'], ['Bg3', 'Qb7'], ['h3', 'h6'], ['Rb1', '']]",1/2-1/2
St Martin op,St Martin,1992.??.??,6,"Renet, Olivier","Gulko, Boris F",,,B66,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['Be2', 'Bd7\n'], ['f4', 'h6'], ['Bh4', 'Qc7'], ['Nf3', 'Rc8'], ['O-O', 'Be7'], ['Rad1', 'O-O'], ['Kh1', 'Rfd8'], ['Bd3', 'Be8\n'], ['Qe2', 'Nh5'], ['Bxe7', '']]",1/2-1/2
St Martin op,St Martin,1992.??.??,7,"Gulko, Boris F","Todorcevic, Miodrag",,,A42,"[['d4', 'g6'], ['c4', 'Bg7'], ['e4', 'd6'], ['Nc3', 'e5'], ['dxe5', 'dxe5'], ['Qxd8+', 'Kxd8'], ['f4', 'Be6'], ['Nf3', 'Nd7\n'], ['h3', 'Ne7'], ['g4', 'exf4'], ['Bxf4', 'Nc6'], ['O-O-O', 'Kc8'], ['Nd5', 'Nde5'], ['Nxe5', 'Nxe5'], ['Rh2', 'c6\n'], ['Rc2', 'Bd7'], ['Ne3', 'Re8'], ['c5', 'Be6'], ['Nc4', 'Nxc4'], ['Bxc4', 'Bxc4'], ['Rxc4', 'Be5'], ['Rf1', 'Bxf4+\n'], ['Rxf4', 'Re7'], ['Rd4', 'Kc7'], ['Kd2', 'Rd8'], ['Ke3', 'b6'], ['b4', 'bxc5'], ['bxc5', 'Rb8'], ['Ra4', 'Kd8\n'], ['Rf6', 'Rc7'], ['Ra6', 'Rb2'], ['a4', 'Ra2'], ['h4', 'Ke7'], ['g5', 'h5'], ['Kd4', 'Rd2+'], ['Ke5', 'Kf8\n'], ['Raxc6', 'Re7+'], ['Kf4', 'Rd4'], ['Rc8+', 'Kg7'], ['Rd6', 'Rdxe4+'], ['Kf3', 'Re3+'], ['Kf2', '']]",1/2-1/2
St Martin op,St Martin,1992.??.??,8,"Saidy, Anthony Fred","Gulko, Boris F",,,A41,"[['Nf3', 'd6'], ['d4', 'Bg4'], ['e4', 'Nf6'], ['Nc3', 'e6'], ['h3', 'Bh5'], ['Be2', 'Be7'], ['d5', 'e5'], ['Be3', 'Bg6\n'], ['Nd2', 'c6'], ['dxc6', 'bxc6'], ['Bf3', 'Nbd7'], ['Nc4', 'Qc7'], ['Qe2', 'Nb6'], ['O-O', 'O-O'], ['Nxb6', 'axb6\n'], ['Bg5', 'b5'], ['Bxf6', 'Bxf6'], ['a3', 'Qb8'], ['Bh5', 'Bxh5'], ['Qxh5', 'Bd8'], ['Qf3', 'Bb6'], ['Ne2', 'Qc8\n'], ['Rad1', 'Qe6'], ['Ng3', 'g6'], ['Rd2', 'Rfd8'], ['Rfd1', 'Rd7'], ['Qg4', 'd5'], ['exd5', 'cxd5'], ['Qxe6', 'fxe6\n'], ['Kh1', 'Ra4'], ['f3', 'b4'], ['axb4', 'Rxb4'], ['b3', 'Ra7'], ['Re2', 'Ra2'], ['Rb1', 'Rd4'], ['Nf1', 'Bc7\n'], ['g4', 'Rd3'], ['Nh2', 'Rc3'], ['Rc1', 'Rb2'], ['g5', 'Rbxb3'], ['Ng4', 'e4'], ['fxe4', 'Rxh3+'], ['Nh2', 'Rbe3\n'], ['Rxe3', 'Rxe3']]",0-1
St Martin op,St Martin,1992.??.??,9,"Gulko, Boris F","Ivanov, Alexander",,,A28,"[['c4', 'e5'], ['Nc3', 'Nc6'], ['Nf3', 'Nf6'], ['e3', 'Be7'], ['d4', 'exd4'], ['Nxd4', 'Bb4'], ['Nxc6', 'Bxc3+'], ['bxc3', 'dxc6\n'], ['Qc2', 'Qe7'], ['f3', 'Be6'], ['Rb1', 'b6'], ['Qa4', 'Bd7'], ['Be2', 'c5'], ['Qc2', 'O-O'], ['O-O', 'Bc6\n'], ['e4', 'Rad8'], ['Bg5', 'h6'], ['Bh4', 'g5'], ['Bf2', '']]",1/2-1/2
Tilburg,Tilburg,1992.??.??,1,"Gulko, Boris F","Knoppert, Erik G J",,,A28,"[['c4', 'e5'], ['g3', 'Nf6'], ['Bg2', 'Nc6'], ['Nc3', 'Bb4'], ['e4', 'O-O'], ['d3', 'd6'], ['Nf3', 'Nd4'], ['Nxd4', 'exd4\n'], ['a3', 'Ba5'], ['b4', 'dxc3'], ['bxa5', 'c6'], ['O-O', 'Qxa5'], ['Rb1', 'Nd7'], ['Qc2', 'Nc5'], ['Be3', 'f5\n'], ['Bd4', 'fxe4'], ['dxe4', 'Be6'], ['Bxc3', 'Qa6'], ['Rb4', 'Bxc4'], ['Bxg7', 'Bxf1'], ['Bxf1', 'Qxa3\n'], ['Bc3', 'Rf3'], ['Bc4+', 'd5'], ['Bb3', 'Nxb3'], ['Rxb3', 'Qa4'], ['exd5', 'cxd5'], ['Qd1', 'Rd3'], ['Qh5', 'Qxb3\n'], ['Qg5+', 'Kf7'], ['Qf6+', 'Ke8'], ['Qe6+', 'Kf8'], ['Qd6+', 'Ke8'], ['Qe6+', 'Kf8']]",1/2-1/2
